"rnum","업소명","주소","전화번호","혜택유형","처리상태","좌표출처","좌표검증상태","위도","경도","반환주소","검토메모"
"600","의정부서울척병원","경기도의정부시태평로6(의정부동)","031-830-2000","할인","REUSED","네이버 Geocoding API","확인 완료","37.7336074","127.0486693","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"601","로체스터병원","경기도의정부시호국로1519번길2- 29(금오동)","031-879-7575","할인","REUSED","네이버 Geocoding API","확인 완료","37.7539203","127.0709934","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"602","연세베스트병원","경기도의정부시평화로3892-8층 (호원동, 화성빌딩)","031-874-0119","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"603","의정부모커리한방병원","경기도의정부시동일로7134층 (금오동)","031-827-2575","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"604","블루힐요양병원","경기도의정부시입석로70번길66(녹양동)","031-871-8118","할인","REUSED","네이버 Geocoding API","확인 완료","37.7576669","127.0195007","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"605","서울신세계안과","경기도의정부시태평로73번길553,4층 (의정부동, 농협빌딩)","1599-7397","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"606","서울마디정형외과","경기도의정부시태평로73번길556,7층 (의정부동)","031-875-7355","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"607","김재우한의원","경기도의정부시시민로1461층 (의정부동)","031-878-0808","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"608","의정부장례식장","경기도의정부시체육로113- 18(녹양동)","031-871-4444","할인","REUSED","네이버 Geocoding API","확인 완료","37.757424","127.0222128","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"609","의정부간호학원","경기도의정부시시민로1255층 (의정부동)","031-845-0381","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"610","경기북부간호학원","경기도의정부시태평로1283,4층 (의정부동)","031-846-4238","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"647","나도보청기","경기도용인시 기흥구동백5로21- 114층 (중동, 동백훼미리프라자1)","031-283-2515","할인","ADDRESS_MISMATCH","","재확인 필요","","","","도로명·건물번호가 원본과 일치하지 않음"
"666","글로벌안과","경기도안양시 동안구관악대로480201호2층 (관양동, 우정타운)","031-426-1004","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"668","자생한방병원","경기도수원시 영통구봉영로1587406호4,9,10층 (영통동, 다모아프라자)","031-695-8034","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"669","사람사랑치과","경기도수원시 장안구경수대로950434호4층 (조원동)","031-257-2803","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"670","연세굿데이치과의원 양재점","서울특별시서초구강남대로206(양재동, (5~6층))","02-574-2279","할인","REUSED","네이버 Geocoding API","확인 완료","37.4826678","127.0365079","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"671","연세굿데이치과의원 수서점","서울특별시강남구광평로281(수서동, (2층))","02-6181-3800","할인","REUSED","네이버 Geocoding API","확인 완료","37.4881219","127.103087","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"683","아람컴퓨터전문학원","서울특별시동작구동작대로29길91(사당동, (우성2공구상가 404호))","02-593-5424","할인","REUSED","네이버 Geocoding API","확인 완료","37.4875831","126.9771295","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"684","국제컴퓨터학원","서울특별시서대문구통일로157- 6(냉천동, (3층))","02-393-5641","할인","REUSED","네이버 Geocoding API","확인 완료","37.5680135","126.9640144","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"685","유림컴퓨터학원","서울특별시성동구뚝섬로325- 1(성수동1가, (한샘어린이집))","02-468-2174","할인","REUSED","네이버 Geocoding API","확인 완료","37.5412337","127.047261","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"686","송파컴퓨터회계학원","서울특별시송파구송파대로38길2- 9(송파동)","0507-1408-7744","할인","REUSED","네이버 Geocoding API","확인 완료","37.5001579","127.1124643","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"711","상아컴퓨터학원","인천광역시계양구경명대로1124(계산동, 명인프라자 501호)","032-541-0131","할인","REUSED","네이버 Geocoding API","확인 완료","37.5428698","126.7318657","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"712","우리컴퓨터아카데미(지점)","인천광역시부평구경원대로1369(부평동)","032-343-4927","할인","REUSED","네이버 Geocoding API","확인 완료","37.4914754","126.721029","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"713","한나래컴퓨터학원","인천광역시계양구장제로899(임학동, 4층)","032-552-9669","할인","REUSED","네이버 Geocoding API","확인 완료","37.5470052","126.7399534","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"714","시대컴퓨터학원","인천광역시남동구구월남로232(구월동, 롯데프라자 1차)","032-427-7494","할인","REUSED","네이버 Geocoding API","확인 완료","37.4523746","126.7152227","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"715","한결컴퓨터학원","인천광역시남동구서창남로81- 0(서창동, 투엠프라자 505호)","","할인","REUSED","네이버 Geocoding API","확인 완료","37.4262867","126.7480493","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"716","길컴퓨터학원","인천광역시미추홀구소성로20(용현동, 201호)","032-765-7956","할인","REUSED","네이버 Geocoding API","확인 완료","37.4476282","126.6519759","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"717","이컴회계정보처리학원","인천광역시미추홀구석정로202번길12- 17(도화동, 3~5층)","032-881-4030","할인","REUSED","네이버 Geocoding API","확인 완료","37.4671403","126.657386","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"718","가인컴퓨터학원","인천광역시부평구주부토로231(갈산동, 갈산홈프라자 401호)","032-524-0833","할인","REUSED","네이버 Geocoding API","확인 완료","37.5158535","126.7260311","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"719","원당컴퓨터학원","인천광역시검단구원당대로840번길5- 0(당하동, 502호)","032-565-5497","할인","REUSED","네이버 Geocoding API","확인 완료","37.593062","126.6948981","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"720","도원회계컴퓨터학원","인천광역시제물포구참외전로244- 1-1(도원동, 3층)","032-886-8805","할인","REUSED","네이버 Geocoding API","확인 완료","37.4685427","126.6416496","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"721","우리컴퓨터아카데미","경기도구리시건원대로36(인창동, 406호)","031-555-6667","할인","REUSED","네이버 Geocoding API","확인 완료","37.6044341","127.1405155","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"730","대원평생교육원","경기도수원시 권선구수인로43- 26(서둔동)","031-291-6110","할인","REUSED","네이버 Geocoding API","확인 완료","37.2695464","126.9929742","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"731","중앙컴퓨터전산회계학원","경기도광주시중앙로145번길23(경안동, 용궁빌딩)","","할인","REUSED","네이버 Geocoding API","확인 완료","37.4124331","127.2547288","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"732","영진아이티학원","경기도수원시 팔달구정조로7241203호12층 (중동, 마이온프라자)","","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"733","더플랜컴퓨터학원 공도점","경기도안성시공도읍공도4로3207호2층 (공도읍만정리, 우성메디컬)","031-653-7902","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"736","샘물 IT 캠퍼스학원","경기도여주시여흥로176- 21층 (상동)","","할인","REUSED","네이버 Geocoding API","확인 완료","37.2950376","127.6429209","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"738","하늘바다컴퓨터학원","경기도용인시 수지구풍덕천로122503호5층 (풍덕천동, 하나로프라자)","031-261-7785","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"741","더플랜컴퓨터학원 이천점","경기도이천시영창로143301호(관고동)","031-631-4865","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"743","더플랜컴퓨터학원 평택점","경기도평택시용죽3로125층 (용이동)","031-656-7901","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"745","비트컴퓨터학원","경기도평택시비전5로117층 (비전동, 타임빌딩)","0507-1315-6236","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"746","더영진아이티학원","경기도화성시 동탄구동탄대로537441호4층 (오산동, 라스플로레스)","","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"747","동탄영진아이티학원","경기도화성시 동탄구동탄대로시범길148- 54503호(청계동)","","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"776","광명안경원","경기도동두천시중앙로235(생연동)","031-862-7799","할인","REUSED","네이버 Geocoding API","확인 완료","37.9026924","127.0530852","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"777","바흐야마","경기도성남시 수정구위례광장로27- 0(창곡동, 으뜸프라자 102호)","","할인","REUSED","네이버 Geocoding API","확인 완료","37.4669488","127.1401074","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"778","글라스타안경 죽전점","경기도용인시 기흥구죽전로39(보정동, SJ타워 108호)","031-896-7755","할인","REUSED","네이버 Geocoding API","확인 완료","37.3207161","127.1131676","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"779","시호비전 안경원","경기도안성시공도읍서동대로4478(공도읍양기리, 롯데마트 2층)","031-653-0444","할인","REUSED","네이버 Geocoding API","확인 완료","37.0078386","127.1994978","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"780","안경박사 야탑점","경기도성남시 분당구벌말로37(야탑동, 1층)","031-706-8985","할인","REUSED","네이버 Geocoding API","확인 완료","37.4113526","127.1380138","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"781","글라스타안경 아주대구내점","경기도수원시 영통구월드컵로206(원천동, 성호관 1층)","031-214-5990","할인","REUSED","네이버 Geocoding API","확인 완료","37.2833808","127.046072","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"782","공도안경","경기도안성시공도읍공도로77(공도읍만정리)","031-654-9009","할인","REUSED","네이버 Geocoding API","확인 완료","36.9995936","127.1696098","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"784","클리어서울안과의원","서울특별시서초구서초대로77길17(서초동, (6층))","02-566-7778","할인","REUSED","네이버 Geocoding API","확인 완료","37.4995536","127.0257524","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"786","인터넷피해구제협회","서울특별시금천구범안로1130(가산동, (3층)))","0507-1320-8896","할인","REUSED","네이버 Geocoding API","확인 완료","37.4655207","126.8876739","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"787","에스앤유안과의원","서울특별시강남구강남대로624(신사동)","02-548-0201","할인","REUSED","네이버 Geocoding API","확인 완료","37.5174876","127.0195523","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"788","밴스모자이너의원","서울특별시강남구강남대로470(역삼동, (9층))","02-3011-8556","할인","REUSED","네이버 Geocoding API","확인 완료","37.5043479","127.0250552","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"789","퍼스트성모안과의원","서울특별시노원구동일로1405(상계동, (8층))","02-6956-8011","할인","REUSED","네이버 Geocoding API","확인 완료","37.6538336","127.0601763","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"792","가우디치과의원","서울특별시강남구테헤란로520(대치동, (삼안빌딩 4층))","1599-7402","할인","REUSED","네이버 Geocoding API","확인 완료","37.5078362","127.0610749","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"793","미켈란치과의원","서울특별시강남구강남대로382(역삼동, (메리츠타워 지하1층))","1599-7402","할인","REUSED","네이버 Geocoding API","확인 완료","37.4970813","127.0286302","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"802","송화","경기도고양시 덕양구수역이길25(성사동)","0507-1466-8906","할인","MATCHED","네이버 Geocoding API","확인 완료","37.6638736","126.8502979","경기도 고양시 덕양구 수역이길 25","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"803","일품사천불짬뽕","서울특별시강서구양천로28(방화동, (벽산에어트리움))","02-2662-6639","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5722167","126.8067625","서울특별시 강서구 양천로 28 벽산에어트리움","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"806","포아이니 개화산역점","서울특별시강서구양천로28(방화동, (본관동 104호))","02-2665-5599","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5722167","126.8067625","서울특별시 강서구 양천로 28 벽산에어트리움","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"807","전주콩나물 해장국&지지미 방화점","서울특별시강서구양천로6길28(방화동)","02-2665-8222","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5705336","126.8068242","서울특별시 강서구 양천로6길 28 마곡중앙하이츠아파트","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"808","강서풍천민물장어","서울특별시강서구양천로18길9(방화동)","02-2661-1033","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5729726","126.812989","서울특별시 강서구 양천로18길 9 만가화로구이","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"809","칼스토랑 방화점","서울특별시강서구양천로28(방화동, (b106)))","070-8657-3869","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5722167","126.8067625","서울특별시 강서구 양천로 28 벽산에어트리움","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"810","김가네 개화산역점","서울특별시강서구양천로28(방화동, (벽산에어트리움 C-8호)))","02-2664-2335","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5722167","126.8067625","서울특별시 강서구 양천로 28 벽산에어트리움","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"811","공항두루치기","서울특별시강서구양천로28(방화동)","02-2666-2272","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5722167","126.8067625","서울특별시 강서구 양천로 28 벽산에어트리움","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"812","서울맥치과의원 강서점","서울특별시강서구양천로490(등촌동, (3층 301호))","02-2659-2870","할인","REUSED","네이버 Geocoding API","확인 완료","37.5610697","126.8544711","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"813","인천맥치과의원","인천광역시서해구봉오대로255- 0(가정동, 3층 305호~308호)","032-565-7928","할인","REUSED","네이버 Geocoding API","확인 완료","37.5251182","126.6779803","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"814","김포맥치과의원","경기도김포시중봉1로17(감정동, 2층)","032-982-2853","할인","REUSED","네이버 Geocoding API","확인 완료","37.6233037","126.6993417","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"815","업프로짐","경기도의왕시왕곡로163층 (왕곡동, 의왕프라자)","0507-1488-8320","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"817","로젠안경원","경기도과천시별양상가2로201층 (별양동, 새서울쇼핑)","02-503-2121","면제","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"818","준스이","경기도부천시 원미구상동로69(상동, 새롬프라자 15차 101호)","070-4334-3699","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5037563","126.7522343","경기도 부천시 원미구 상동로 69 새롬프라자(15차)","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"822","힐앤필 PT 필라테스","경기도과천시과천대로6가길22503호(갈현동, 소호프라자)","0507-1461-0664","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"830","으뜸 50안경 과천점","경기도과천시새술막길38304호(중앙동, 중앙빌딩)","02-6326-5051","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"836","스타안경원","서울특별시관악구남부순환로1938(봉천동, (2층))","02-883-1999","할인","REUSED","네이버 Geocoding API","확인 완료","37.4765678","126.9641291","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"842","베스트헤어","경기도수원시 장안구정자로42번길52203호(천천동, 베스트상가)","031-268-5535","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"843","새빛안과병원","경기도고양시 일산동구중앙로1065(백석동)","031-900-7700","할인","REUSED","네이버 Geocoding API","확인 완료","37.6442729","126.7857545","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"849","모모성형외과의원","서울특별시강남구압구정로124(신사동, (모모빌딩))","1566-4766","할인","REUSED","네이버 Geocoding API","확인 완료","37.5237732","127.0222286","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"850","디지털해피스치과","인천광역시부평구광장로28(부평동, 405일부,406,407,408,409호)","0507-1327-2896","할인","REUSED","네이버 Geocoding API","확인 완료","37.4904402","126.7248666","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"851","우디핏","경기도의왕시내손중앙로46층 (내손동, 벨포레스퀘어)","031-429-9679","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"856","인천안경","인천광역시제물포구송림로91(송림동, 1층)","032-773-4891","할인","REUSED","네이버 Geocoding API","확인 완료","37.4762735","126.644975","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"860","모모의원(수원점)","경기도수원시 팔달구중부대로1419층 (우만동)","1688-8666","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"861","푸라닭 용인역북점","경기도용인시 처인구금학로235번길261층 (역북동, 선봉레스텔)","0507-1379-9207","할인","ADDRESS_MISMATCH","","재확인 필요","","","","도로명·건물번호가 원본과 일치하지 않음"
"863","닥터유치과의원","서울특별시강남구학동로221(논현동, (예진빌딩 2층))","02-544-2804","할인","REUSED","네이버 Geocoding API","확인 완료","37.5150652","127.0333556","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"865","육회바른연어 부천상동역점","경기도부천시 원미구상동로69(상동, 새롬프라자 1층 105호)","0507-1392-4766","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5037563","126.7522343","경기도 부천시 원미구 상동로 69 새롬프라자(15차)","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"869","바로나치과의원","경기도양주시회천중앙로248(덕계동, 2층)","031-864-7528","할인","REUSED","네이버 Geocoding API","확인 완료","37.8196515","127.0535361","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"878","석바위칼국수","인천광역시미추홀구경원대로852번길9(주안동)","050713102621","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4588663","126.6901559","인천광역시 미추홀구 경원대로852번길 9","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"883","안양 남대문 안경","경기도안양시 만안구장내로89번길5(안양동)","031-443-4439","할인","REUSED","네이버 Geocoding API","확인 완료","37.3955184","126.9181705","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"886","강남다움의원","서울특별시서초구강남대로419(서초동, 파고다타워)","0507-1309-7833","할인","REUSED","네이버 Geocoding API","확인 완료","37.4998135","127.0262296","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"887","365다움의원","서울특별시성동구왕십리광장로64층 (행당동, 비트플렉스)","0507-1343-1755","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"889","365다움의원 파주운정","경기도파주시숲속노을로128(동패동, 4층)","0507-1350-5617","할인","REUSED","네이버 Geocoding API","확인 완료","37.7122846","126.715172","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"890","에스바이크","서울특별시노원구초안산로2길921층 (월계동, 에스바이크)","010-7343-1233","할인","REUSED","네이버 Geocoding API","확인 완료","37.6284784","127.0557652","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"891","서울 센트럴 병원","서울특별시관악구남부순환로1814- 0(봉천동, 3층~9층)","1600-3565","할인","REUSED","네이버 Geocoding API","확인 완료","37.4810595","126.9516001","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"896","자연치아살리기강서모아","서울특별시강서구강서로323303호(내발산동, 효동메디컬빌딩)","02-6951-3656","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"897","서울 미소탑 치과의원","서울특별시강북구도봉로1905층 (미아동, 비전빌딩)","02-945-2275","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"898","가바치과교정과치과","서울특별시강북구도봉로30810층 (번동)","02-990-2080","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"899","강서자연치과의원","서울특별시강서구양천로6906층 (염창동, 호서빌딩)","02-3661-7528","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"900","365서울원탑치과의원","서울특별시강서구강서로1794층 (화곡동, 동명서빌딩)","02-6734-2828","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"901","e조은치과의원","서울특별시강북구솔샘로233301호(미아동, 동북프라자)","02-988-2804","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"902","연세센트럴치과의원","서울특별시강동구아리수로93나길262층 (강일동, 성산타워)","02-441-2825","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"903","까페신기촌","인천광역시미추홀구인하로247번길1(주안동, 1층 까페신기촌)","050713563714","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4484835","126.6754747","인천광역시 미추홀구 인하로247번길 1 백곰표씽크","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"905","닥터재일치과의원","서울특별시강동구올림픽로7962층 (암사동)","02-6417-2875","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"906","타코마신호드림치과","서울특별시강서구등촌로2352층 (등촌동)","02-456-7528","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"907","연세비전안과의원","서울특별시강동구천호대로10062층 (성내동)","02-477-0977","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"908","강동씨엘치과","서울특별시강동구양재대로14733층 (길동)","02-471-7755","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"909","연세우주아이정치과의원","서울특별시강동구아리수로93길33301호(강일동, 베스트플라자)","02-427-4590","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"910","서울골든치과","서울특별시강서구강서로532층 (화곡동, 형제빌딩)","02-2699-2323","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"911","베스트안경원","경기도안산시 단원구원포공원1로49(초지동, 태영타운)","031-482-4227","할인","REUSED","네이버 Geocoding API","확인 완료","37.302442","126.8123402","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"912","안경빛나","경기도안산시 단원구광덕대로146(고잔동, 1층 115,116호)","031-401-8889","할인","REUSED","네이버 Geocoding API","확인 완료","37.3094273","126.8306695","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"913","안경세상","경기도안산시 단원구당곡2로23(고잔동, 바상가 1층)","031-482-9009","할인","REUSED","네이버 Geocoding API","확인 완료","37.3249399","126.8379327","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"914","우리안경","경기도안산시 상록구감골로137(사동, 1층 우리안경)","031-416-0584","할인","REUSED","네이버 Geocoding API","확인 완료","37.2939375","126.8571339","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"915","으뜸50안경 안산중앙점","경기도안산시 단원구예술대학로17(고잔동, 중앙노블레스 B동 3층 318호)","050713089963","할인","REUSED","네이버 Geocoding API","확인 완료","37.3187059","126.8365081","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"918","본안경","경기도안산시 상록구석호로315(본오동, 145호 본안경)","031-501-3465","할인","REUSED","네이버 Geocoding API","확인 완료","37.2937514","126.8659746","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"922","마곡세브란스치과","서울특별시강서구마곡중앙6로401호4층 (마곡동)","02-2668-2828","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"923","서울굿닥터치과","서울특별시강동구올림픽로7823층 (암사동)","02-6427-2875","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"924","코랄치과의원","서울특별시강동구양재대로13032층 (성내동, 평원빌딩)","02-484-2879","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"925","탑플랜치과의원","서울특별시강서구양천로30길123- 28(마곡동)","02-2668-2804","할인","REUSED","네이버 Geocoding API","확인 완료","37.5672926","126.8238347","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"926","코모키이비인후과의원","서울특별시강동구천호대로10157층 (천호동, 성보빌딩)","02-488-5075","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"927","연세힐치과의원","서울특별시강서구강서로2311, 2층 (화곡동, 효성해링턴상가)","02-2697-2875","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"928","이선생 치과의원","서울특별시강북구도봉로2052층 (미아동)","02-987-2080","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"929","연세송병재치과교정과의원","서울특별시강동구양재대로13602076호(둔촌동, 포레온스테이션)","02-470-9204","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"931","카이 안과의원","서울특별시강남구테헤란로326(역삼동, (역삼아이타워 2층))","02-6207-1236","할인","REUSED","네이버 Geocoding API","확인 완료","37.5035425","127.0470436","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"932","미래안경","경기도안산시 단원구광덕서로56(고잔동, 1층 미래안경)","050713327578","할인","REUSED","네이버 Geocoding API","확인 완료","37.3096801","126.8273635","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"933","닥터 디자이너 의원 동탄점","경기도화성시 동탄구동탄순환대로7014층 (영천동)","031-378-7082","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"934","끌림안경원","경기도화성시 효행구봉담읍동화길81- 101층 (봉담읍동화리)","031-278-0039","할인","REUSED","네이버 Geocoding API","확인 완료","37.2170241","126.9577241","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"942","샤론안경원","경기도수원시 권선구수성로47- 0상가동2층 (구운동, 삼환아파트)","031-295-0072","할인","REUSED","네이버 Geocoding API","확인 완료","37.2838786","126.9781897","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"943","글라스스튜디오 경기대점","경기도수원시 영통구대학로56107호(이의동, 리치프라자 1차)","031-212-1233","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"944","다비치안경 안중터미널점","경기도평택시안중읍안현로서9길14- 9(안중읍현화리)","031-681-1356","할인","REUSED","네이버 Geocoding API","확인 완료","36.9782901","126.9232569","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"945","천사안경원","경기도성남시 수정구남문로711층 (태평동)","031-753-0119","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"946","으뜸안경 서현점","경기도성남시 분당구서현로210번길2- 0(서현동)","031-706-1010","할인","REUSED","네이버 Geocoding API","확인 완료","37.3868395","127.1254838","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"947","오티오안경 화양점","서울특별시광진구군자로85(군자동)","02-468-1721","할인","REUSED","네이버 Geocoding API","확인 완료","37.550783","127.0709146","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"948","으뜸50안경(아주대점)","경기도수원시 영통구중부대로264- 12층 (매탄동)","031-211-1825","할인","REUSED","네이버 Geocoding API","확인 완료","37.2742331","127.0444627","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"949","이안경나라","경기도성남시 중원구산성대로350(중앙동)","031-734-8585","할인","REUSED","네이버 Geocoding API","확인 완료","37.4437619","127.1553544","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"950","바라봄안경원","경기도수원시 권선구금곡로102번길15(금곡동)","0507-1407-1086","할인","REUSED","네이버 Geocoding API","확인 완료","37.273501","126.941852","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"951","선명안경","경기도성남시 수정구수정로3461층 (산성동, 백강빌딩)","0507-1427-9990","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"952","네모안경","경기도성남시 수정구수정로2851층 (신흥동)","031-745-8765","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
